ï»¿Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira;semestre;Regiao - Sigla
;PA;ALENQUER;A L VIEIRA DA SILVA - EPP; 14.156.566/0001-11;ESTRADA PAES DE CARVALHO;S/N;;PLANALTO;68200-000;GASOLINA ADITIVADA;18/08/2021;6,69;;R$ / litro;EQUADOR;2º semestre;N
;SP;SAO BERNARDO DO CAMPO;POSTO DE COMBUSTIVEIS VERDE BRASIL LTDA.; 09.073.411/0001-81;AVENIDA ALVARO GUIMARAES;852;;PLANALTO;09890-003;ETANOL;02/11/2021;5,299;;R$ / litro;IPIRANGA;2º semestre;SE
;AM;MANAUS;POSTO 3000 LTDA; 84.479.997/0001-02;AVENIDA DJALMA BATISTA;935;FUNDOS PARA AV CONSTANTINO NERY N° 1255 CHAPADA;SÃO GERALDO;69050-010;ETANOL;04/10/2021;4,799;;R$ / litro;SABBÁ;2º semestre;N
;GO;CALDAS NOVAS;AUTO POSTO ITAGUAI LTDA; 17.853.399/0001-56;RUA C ESQ C/ RUA 06;S/N;QD 44, LT 18;ITAGUAI III;75690-000;DIESEL S10;28/07/2021;4,597;;R$ / litro;BRANCA;2º semestre;CO
SE;SP;SAO PAULO;ARRAIAS DO ARAGUAIA AUTO POSTO LTDA; 55.783.450/0001-90; PTE  ARICANDUVA;8624;;J S CRISTOVAO;08210-040;GASOLINA;09/03/2021;5,399;;R$ / litro;IPIRANGA;1º semestre;
S;PR;LONDRINA;AUTO POSTO MUFFATO LTDA; 13.616.378/0007-51;RUA QUINTINO BOCAIUVA;1358;TERREO;CENTRO;86020-150;GASOLINA ADITIVADA;04/01/2021;4,49;;R$ / litro;RAIZEN;1º semestre;
;MG;BELO HORIZONTE;POSTO JUPITER LTDA; 38.619.219/0001-46;AVENIDA TEREZA CRISTINA;2850;;PADRE EUSTAQUIO;30720-230;GASOLINA ADITIVADA;14/09/2021;6,304;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
S;RS;SAPUCAIA DO SUL;ABASTECEDORA DE COMBUSTIVEIS LUCIO BITTENCOURT LTDA; 27.858.156/0001-64;AVENIDA LUCIO BITTENCOURT;50;;CENTRO;93214-170;DIESEL S10;18/02/2021;3,599;;R$ / litro;RAIZEN;1º semestre;
NE;PI;PARNAIBA;POSTO MAIS PINHEIRO MACHADO LTDA; 30.293.594/0001-37;AVENIDA DEPUTADO PINHEIRO MACHADO;919;;PIAUI;64208-335;DIESEL;23/06/2021;4,69;;R$ / litro;BRANCA;1º semestre;
;RS;SANTA ROSA;SSM COMBUSTIVEIS LTDA; 21.614.280/0001-06;AVENIDA INHACORA;307;;CENTRO;98900-000;DIESEL;04/07/2021;4,49;;R$ / litro;BRANCA;2º semestre;S
